iter	Passed	Remaining
0	28	141968
1	59	148356
2	89	148964
3	119	149473
4	154	154803
5	196	163849
6	227	162233
7	259	161622
8	288	159954
9	318	158799
10	356	161513
11	385	160306
12	416	159798
13	448	159846
14	479	159303
15	510	158959
16	543	159212
17	577	159769
18	608	159543
19	639	159202
20	671	159163
21	704	159334
22	735	159164
23	763	158250
24	791	157429
25	818	156490
26	852	156930
27	882	156767
28	915	156917
29	948	157177
30	981	157255
31	1012	157150
32	1044	157271
33	1077	157430
34	1108	157187
35	1139	157193
36	1184	158845
37	1227	160298
38	1267	161258
39	1297	160831
40	1331	161073
41	1363	160927
42	1396	160949
43	1426	160693
44	1456	160420
45	1486	160093
46	1518	159980
47	1549	159853
48	1581	159809
49	1611	159587
50	1642	159377
51	1669	158894
52	1697	158413
53	1723	157852
54	1757	157991
55	1786	157746
56	1820	157834
57	1853	157907
58	1881	157606
59	1917	157858
60	1949	157852
61	1978	157614
62	2009	157470
63	2042	157543
64	2073	157411
65	2102	157156
66	2133	157081
67	2161	156766
68	2190	156536
69	2223	156565
70	2254	156515
71	2286	156516
72	2319	156560
73	2351	156529
74	2381	156396
75	2411	156210
76	2445	156341
77	2476	156281
78	2507	156165
79	2537	156045
80	2570	156090
81	2602	156094
82	2635	156130
83	2666	156072
84	2698	156013
85	2728	155914
86	2761	155937
87	2795	156029
88	2827	156006
89	2856	155862
90	2887	155777
91	2917	155656
92	2949	155636
93	2978	155445
94	3007	155279
95	3037	155158
96	3070	155185
97	3103	155228
98	3140	155454
99	3170	155377
100	3201	155297
101	3231	155172
102	3261	155044
103	3290	154919
104	3321	154844
105	3351	154760
106	3384	154749
107	3416	154772
108	3447	154682
109	3479	154661
110	3516	154905
111	3549	154888
112	3580	154839
113	3617	155061
114	3650	155062
115	3679	154922
116	3712	154931
117	3748	155093
118	3782	155144
119	3816	155196
120	3846	155110
121	3876	155005
122	3904	154823
123	3930	154557
124	3959	154414
125	3990	154355
126	4023	154373
127	4054	154323
128	4085	154263
129	4118	154276
130	4151	154309
131	4182	154232
132	4215	154255
133	4246	154217
134	4277	154163
135	4307	154071
136	4336	153929
137	4364	153773
138	4391	153578
139	4429	153773
140	4463	153813
141	4492	153706
142	4526	153739
143	4555	153620
144	4586	153553
145	4616	153483
146	4648	153463
147	4679	153412
148	4712	153415
149	4745	153432
150	4776	153370
151	4810	153439
152	4839	153302
153	4869	153229
154	4903	153275
155	4934	153209
156	4969	153296
157	5000	153244
158	5033	153243
159	5064	153212
160	5097	153223
161	5131	153263
162	5164	153257
163	5194	153185
164	5227	153168
165	5257	153087
166	5287	153014
167	5318	152959
168	5347	152864
169	5374	152700
170	5403	152591
171	5433	152521
172	5464	152463
173	5494	152404
174	5525	152344
175	5556	152310
176	5594	152440
177	5632	152588
178	5671	152743
179	5707	152830
180	5742	152878
181	5772	152815
182	5801	152709
183	5826	152498
184	5854	152369
185	5888	152397
