iter	RMSE
0	3951.291402
1	3769.747151
2	3594.639487
3	3427.915334
4	3269.495269
5	3121.592926
6	2979.340189
7	2841.881994
8	2711.929241
9	2589.14848
10	2472.859629
11	2360.526582
12	2256.349039
13	2158.159636
14	2062.100673
15	1973.0491
16	1887.596813
17	1808.209265
18	1732.269676
19	1659.790887
20	1590.061568
21	1526.362386
22	1465.224569
23	1407.810469
24	1352.113023
25	1298.727703
26	1249.682194
27	1202.001287
28	1156.91978
29	1114.821726
30	1074.977106
31	1037.613458
32	1001.597352
33	968.5035057
34	936.4043895
35	907.7390405
36	880.0930699
37	853.9141477
38	828.0392684
39	804.4770918
40	782.5933403
41	761.0152844
42	740.774449
43	723.007046
44	705.4145186
45	688.395759
46	671.8127595
47	657.1438245
48	643.6575192
49	629.6816558
50	617.1126721
51	605.0297529
52	594.1572654
53	583.510154
54	574.065984
55	565.1214191
56	556.7487353
57	548.8561888
58	541.2517081
59	533.6345409
60	526.4654307
61	519.7104902
62	513.7574588
63	508.0569285
64	502.2650907
65	496.9053765
66	491.5995619
67	486.7732586
68	482.3877511
69	478.3097177
70	474.5398935
71	470.5494058
72	466.7980882
73	463.6900968
74	460.0690345
75	456.8490291
76	453.5619365
77	450.7507234
78	447.8193071
79	445.3130974
80	442.6385991
81	440.2681209
82	437.984743
83	435.9447354
84	434.2341754
85	431.6219683
86	429.4423693
87	427.585802
88	425.6281669
89	423.998656
90	422.2855791
91	420.9428039
92	419.3541456
93	417.6757389
94	416.4468409
95	414.8740382
96	413.3174116
97	412.122511
98	410.8851655
99	409.8719868
100	408.7896117
101	407.6332499
102	406.5568719
103	405.2008924
104	404.19446
105	402.8951365
106	401.7618584
107	400.8150289
108	399.6681981
109	398.568413
110	397.7062075
111	396.8914402
112	395.9296582
113	395.3845015
114	394.3675074
115	393.6463615
116	392.8341582
117	392.2197183
118	391.416741
119	390.799895
120	390.1808742
121	389.4334745
122	388.8089417
123	388.2181956
124	387.6304294
125	387.2817418
126	386.4847166
127	385.6352034
128	385.0131888
129	384.5392032
130	383.9238891
131	383.4181122
132	382.6561399
133	381.8745539
134	381.5522992
135	380.8730847
136	380.3175741
137	379.9776965
138	379.2615006
139	378.8203617
140	378.2847428
141	377.8331935
142	377.4911999
143	376.9270882
144	376.5459971
145	376.0466428
146	375.2871676
147	374.9099523
148	374.6311306
149	374.076687
150	373.5994617
151	373.0284956
152	372.5930833
153	372.2503972
154	371.9208
155	371.2445847
156	370.9153098
157	370.3496551
158	369.9929811
159	369.6257292
160	369.2853064
161	368.9079686
162	368.228879
163	367.8594755
164	367.659623
165	367.2654589
166	366.932101
167	366.4720407
168	366.2925562
169	366.1126325
170	365.81547
171	365.6357026
172	365.3750798
173	365.0681546
174	364.8740836
175	364.6015623
176	364.183767
177	363.9450307
178	363.7212564
179	363.3768006
180	363.1237339
181	362.5055411
182	362.2119859
183	361.7269244
184	361.4066235
185	361.1978104
186	360.9468146
187	360.4783386
188	360.310554
189	360.0586984
190	359.7666032
191	359.5816307
192	359.4073897
193	358.9835692
194	358.8027035
195	358.5636544
196	358.3942813
197	358.2596617
198	357.9715393
199	357.7855575
200	357.496814
201	357.2657357
202	357.0791719
203	356.8542254
204	356.6011805
205	356.2761368
206	356.1362011
207	355.9137386
208	355.5660205
209	355.3912155
210	355.2108867
211	355.0720103
212	354.8912407
213	354.6237026
214	354.4067646
215	354.276474
216	353.9847777
217	353.827701
218	353.6511256
219	353.4445088
220	353.098139
221	352.9045834
