iter	Passed	Remaining
0	31	157640
1	65	164114
2	98	163848
3	127	159143
4	164	164648
5	201	168015
6	233	166743
7	265	165845
8	298	165277
9	328	163926
10	360	163568
11	389	161756
12	419	160936
13	456	162591
14	490	162883
15	521	162406
16	552	162035
17	588	163008
18	621	162883
19	651	162344
20	684	162358
21	716	162090
22	747	161707
23	777	161256
24	809	161059
25	839	160617
26	869	160228
27	902	160279
28	935	160338
29	966	160155
30	1000	160409
31	1033	160397
32	1066	160506
33	1096	160198
34	1129	160178
35	1166	160911
36	1197	160677
37	1230	160631
38	1263	160748
39	1294	160466
40	1326	160400
41	1355	159960
42	1388	160107
43	1423	160308
44	1456	160351
45	1487	160226
46	1520	160188
47	1553	160299
48	1584	160094
49	1616	159995
50	1649	160064
51	1681	159971
52	1711	159794
53	1742	159574
54	1774	159586
55	1805	159428
56	1836	159248
57	1866	159046
58	1902	159305
59	1934	159310
60	1968	159371
61	1999	159276
62	2032	159262
63	2065	159289
64	2095	159117
65	2126	158937
66	2157	158813
67	2190	158907
68	2223	158874
69	2253	158708
70	2285	158664
71	2313	158347
72	2343	158198
73	2379	158394
74	2413	158462
75	2445	158426
76	2477	158388
77	2511	158472
78	2542	158398
79	2572	158182
80	2604	158173
81	2633	157971
82	2667	158053
83	2698	157923
84	2730	157906
85	2760	157707
86	2788	157449
87	2815	157180
88	2844	156940
89	2878	157040
90	2910	157005
91	2940	156852
92	2970	156711
93	3003	156737
94	3037	156811
95	3069	156791
96	3100	156709
97	3133	156718
98	3165	156706
99	3195	156590
100	3225	156446
101	3255	156341
102	3282	156057
103	3309	155781
104	3343	155880
105	3373	155759
106	3407	155817
107	3438	155755
108	3471	155781
109	3504	155784
110	3533	155650
111	3565	155616
112	3595	155511
113	3626	155421
114	3657	155354
115	3687	155236
116	3716	155125
117	3746	154997
118	3774	154805
119	3809	154911
120	3842	154956
121	3878	155091
122	3910	155055
123	3943	155051
124	3975	155056
125	4005	154936
126	4037	154916
127	4069	154904
128	4103	154935
129	4133	154834
130	4164	154784
131	4195	154711
132	4224	154588
133	4260	154705
134	4291	154659
135	4321	154548
136	4376	155338
137	4413	155510
138	4446	155491
139	4481	155583
140	4511	155485
141	4541	155379
142	4570	155250
143	4603	155244
144	4635	155203
145	4667	155167
146	4697	155085
147	4727	154983
148	4760	154978
149	4791	154931
150	4851	155795
151	4887	155890
152	4920	155886
153	4949	155740
154	4979	155661
155	5011	155599
156	5044	155609
157	5076	155560
158	5107	155497
159	5139	155470
160	5167	155300
161	5194	155137
162	5220	154925
163	5251	154859
164	5282	154799
165	5313	154745
166	5347	154747
167	5377	154654
168	5408	154605
169	5439	154559
170	5469	154466
171	5500	154390
172	5533	154393
173	5565	154351
174	5594	154256
175	5625	154183
176	5657	154153
177	5685	154021
178	5713	153868
179	5739	153688
180	5773	153704
181	5804	153673
182	5836	153640
183	5867	153584
184	5898	153525
185	5928	153434
186	5960	153423
187	5994	153427
188	6025	153387
189	6057	153338
190	6096	153503
191	6130	153524
192	6161	153469
193	6191	153382
194	6219	153259
195	6248	153149
196	6279	153101
197	6311	153079
198	6346	153103
199	6378	153073
200	6411	153088
201	6441	153001
202	6471	152931
203	6503	152892
204	6532	152798
205	6562	152724
206	6593	152677
207	6628	152719
208	6660	152670
209	6689	152575
210	6716	152440
211	6744	152324
212	6779	152368
213	6812	152357
214	6843	152303
215	6876	152304
216	6908	152273
217	6940	152240
218	6972	152219
219	7004	152192
220	7039	152215
221	7074	152253
222	7108	152274
223	7145	152348
224	7178	152347
225	7210	152322
226	7255	152552
227	7286	152497
228	7317	152458
229	7351	152456
230	7383	152432
231	7417	152438
232	7449	152419
233	7481	152376
234	7514	152367
235	7549	152392
236	7582	152391
237	7614	152359
238	7646	152318
239	7681	152345
240	7712	152295
241	7746	152311
242	7780	152307
243	7813	152294
244	7845	152261
245	7879	152266
246	7911	152233
247	7942	152187
248	7974	152151
249	8004	152084
250	8034	152024
251	8068	152022
252	8102	152027
253	8134	151986
254	8161	151875
255	8188	151735
256	8222	151755
257	8252	151687
258	8284	151652
259	8318	151643
260	8352	151650
261	8384	151620
262	8416	151595
263	8449	151586
264	8484	151598
265	8516	151562
266	8546	151508
267	8577	151446
268	8607	151379
269	8634	151255
270	8663	151182
271	8695	151141
272	8726	151105
273	8757	151043
274	8788	150996
275	8820	150969
276	8854	150972
277	8884	150905
278	8912	150814
279	8939	150699
280	8972	150686
281	9005	150673
282	9040	150692
283	9070	150623
284	9101	150569
285	9130	150492
286	9161	150439
287	9191	150387
288	9221	150316
289	9252	150265
290	9282	150213
291	9311	150132
292	9343	150097
293	9374	150052
294	9406	150018
295	9437	149977
296	9470	149972
297	9500	149901
298	9531	149861
299	9561	149796
300	9590	149719
301	9616	149594
302	9643	149483
303	9676	149471
304	9710	149470
305	9740	149424
306	9773	149410
307	9804	149367
308	9844	149449
309	9877	149439
310	9908	149391
