iter	Passed	Remaining
0	28	143273
1	63	159751
2	97	161855
3	125	156208
4	164	164013
5	198	164875
6	230	164494
7	262	163998
8	297	164852
9	327	163180
10	358	162822
11	392	163027
12	421	161600
13	448	159819
14	477	158744
15	506	157677
16	544	159681
17	580	160536
18	612	160631
19	645	160726
20	680	161385
21	712	161288
22	745	161211
23	779	161552
24	811	161528
25	843	161315
26	878	161837
27	909	161471
28	937	160739
29	966	160130
30	995	159629
31	1028	159747
32	1064	160225
33	1099	160520
34	1131	160480
35	1186	163634
36	1232	165309
37	1265	165219
38	1299	165261
39	1332	165286
40	1365	165170
41	1398	165104
42	1431	165070
43	1465	165087
44	1496	164759
45	1524	164187
46	1550	163444
47	1587	163738
48	1620	163781
49	1651	163538
50	1684	163485
51	1721	163803
52	1758	164178
53	1790	164033
54	1824	164017
55	1856	163894
56	1891	164057
57	1925	164086
58	1957	163942
59	1985	163466
60	2013	163061
61	2039	162427
62	2069	162182
63	2101	162080
64	2135	162139
65	2170	162290
66	2203	162241
67	2237	162266
68	2271	162336
69	2306	162426
70	2338	162374
71	2374	162537
72	2411	162731
73	2446	162858
74	2483	163080
75	2513	162827
76	2544	162666
77	2574	162442
78	2603	162182
79	2640	162364
80	2676	162565
81	2707	162400
82	2742	162457
83	2774	162361
84	2805	162237
85	2838	162209
86	2876	162422
87	2908	162358
88	2945	162507
89	2977	162416
90	3010	162405
91	3040	162185
92	3070	162014
93	3101	161889
94	3135	161882
95	3171	161986
96	3203	161950
97	3237	161960
98	3278	162315
99	3311	162273
100	3347	162351
101	3386	162600
102	3421	162675
103	3458	162825
104	3493	162848
105	3528	162929
106	3563	162961
107	3594	162827
108	3624	162641
109	3654	162460
110	3694	162708
111	3729	162755
112	3765	162856
113	3797	162770
114	3832	162790
115	3869	162915
116	3903	162911
117	3936	162880
118	3973	162990
119	4010	163102
120	4047	163219
121	4086	163377
122	4119	163339
123	4150	163199
124	4177	162910
125	4203	162605
126	4230	162331
127	4271	162594
128	4307	162647
129	4342	162686
130	4380	162824
131	4417	162929
132	4451	162902
133	4485	162878
134	4518	162836
135	4552	162835
136	4587	162851
137	4620	162774
138	4651	162660
139	4677	162367
140	4706	162185
141	4734	161965
142	4772	162094
143	4808	162137
144	4841	162102
145	4876	162121
146	4910	162112
147	4943	162081
148	4977	162058
149	5011	162046
150	5049	162150
151	5085	162195
152	5125	162359
153	5163	162486
154	5198	162502
155	5230	162400
156	5259	162231
157	5288	162055
158	5315	161851
159	5351	161875
160	5389	161971
161	5423	161978
162	5460	162043
163	5496	162069
164	5537	162267
165	5573	162297
166	5606	162264
167	5639	162216
168	5676	162263
169	5712	162314
170	5751	162415
171	5786	162431
172	5816	162286
173	5843	162084
174	5871	161877
175	5899	161694
176	5937	161783
177	5973	161822
178	6012	161926
179	6050	162007
180	6085	162022
181	6120	162031
182	6153	161980
183	6186	161928
184	6221	161927
185	6254	161866
186	6288	161856
187	6322	161835
188	6358	161861
189	6389	161746
190	6417	161578
191	6443	161364
192	6471	161175
193	6503	161120
194	6540	161153
195	6573	161118
196	6606	161082
197	6640	161050
198	6698	161614
199	6737	161695
200	6775	161768
201	6809	161734
202	6845	161770
203	6883	161821
204	6919	161853
205	6949	161719
206	6984	161726
207	7024	161841
208	7062	161892
209	7108	162143
210	7158	162471
211	7203	162683
212	7245	162833
213	7287	162985
214	7326	163065
215	7382	163498
216	7432	163820
217	7466	163775
218	7495	163624
219	7528	163571
220	7579	163906
221	7652	164693
222	7725	165482
223	7775	165789
224	7835	166291
225	7879	166452
226	7919	166524
227	7969	166810
228	8015	166988
229	8074	167466
230	8110	167435
231	8140	167303
232	8181	167380
233	8221	167456
234	8265	167606
235	8312	167799
236	8363	168089
237	8415	168382
238	8458	168489
239	8498	168544
240	8537	168584
241	8572	168546
242	8609	168538
243	8658	168777
244	8703	168909
245	8736	168838
246	8776	168883
247	8814	168900
248	8857	169012
249	8898	169080
250	8937	169105
251	8973	169067
252	9012	169104
253	9050	169102
254	9078	168925
255	9105	168727
256	9134	168572
257	9173	168601
258	9210	168604
259	9248	168615
260	9284	168584
261	9324	168627
262	9364	168676
263	9400	168646
264	9441	168701
265	9475	168637
266	9506	168519
267	9535	168358
268	9577	168441
269	9618	168499
270	9667	168705
271	9708	168747
272	9748	168788
273	9793	168912
274	9832	168940
275	9874	169007
276	9909	168966
277	9937	168797
278	9966	168647
279	9998	168543
280	10041	168625
281	10093	168872
282	10126	168791
283	10159	168701
284	10198	168722
285	10234	168688
286	10268	168629
287	10305	168604
288	10341	168571
289	10372	168461
290	10399	168286
291	10429	168152
292	10457	167997
293	10491	167936
294	10525	167868
295	10562	167854
296	10598	167821
297	10642	167921
298	10678	167884
299	10709	167776
300	10743	167713
301	10772	167583
302	10805	167500
303	10839	167436
304	10872	167368
305	10902	167240
306	10930	167097
307	10958	166944
308	10993	166899
309	11027	166842
310	11061	166772
311	11092	166678
312	11126	166614
313	11158	166529
314	11192	166471
315	11230	166461
316	11269	166478
317	11302	166408
318	11337	166373
319	11368	166260
320	11398	166146
321	11427	166016
322	11462	165970
323	11490	165828
324	11523	165764
325	11559	165737
326	11592	165665
327	11624	165575
328	11658	165524
329	11692	165465
330	11725	165403
331	11757	165319
332	11796	165326
333	11829	165259
334	11864	165212
335	11894	165107
336	11925	165009
337	11953	164872
338	11985	164787
339	12021	164765
340	12053	164681
341	12086	164610
342	12116	164510
343	12147	164409
344	12180	164344
345	12212	164267
346	12247	164233
347	12281	164181
348	12315	164123
349	12348	164054
350	12383	164016
351	12416	163948
352	12448	163870
353	12478	163774
354	12513	163731
355	12544	163642
356	12575	163558
357	12608	163487
358	12640	163410
359	12677	163403
360	12714	163383
361	12747	163321
362	12780	163262
363	12813	163196
364	12846	163130
365	12878	163063
366	12914	163033
367	12946	162956
368	12978	162876
369	13010	162802
370	13043	162742
371	13077	162690
372	13109	162620
373	13141	162552
374	13174	162486
375	13204	162387
376	13235	162307
377	13270	162270
378	13304	162221
379	13336	162148
380	13370	162097
381	13404	162044
382	13436	161972
383	13466	161878
384	13501	161837
385	13530	161730
386	13559	161623
387	13587	161504
388	13625	161509
389	13664	161523
390	13693	161415
391	13720	161283
392	13746	161149
393	13773	161014
394	13802	160917
395	13832	160818
396	13861	160711
397	13889	160601
398	13922	160547
399	13951	160443
400	13994	160495
401	14024	160412
402	14057	160354
403	14090	160294
404	14119	160199
405	14148	160089
406	14175	159965
407	14204	159873
408	14262	160090
409	14315	160261
410	14349	160222
411	14380	160139
412	14409	160045
413	14440	159957
414	14473	159906
415	14506	159847
416	14539	159790
417	14570	159720
418	14600	159630
419	14626	159501
420	14655	159400
421	14692	159384
422	14727	159359
423	14761	159307
424	14795	159273
425	14830	159237
426	14867	159228
427	14901	159181
428	14933	159115
429	14963	159034
430	14995	158966
431	15028	158912
432	15061	158860
433	15091	158773
434	15120	158682
435	15153	158621
436	15187	158578
437	15218	158510
438	15254	158483
439	15284	158398
440	15315	158325
441	15347	158263
442	15380	158209
443	15411	158144
444	15442	158069
445	15471	157971
446	15504	157922
447	15538	157884
448	15572	157840
449	15603	157764
450	15635	157706
451	15667	157644
452	15700	157594
453	15735	157558
454	15769	157524
455	15802	157471
456	15834	157411
457	15865	157337
458	15900	157307
459	15930	157226
460	15964	157183
461	15994	157107
462	16024	157029
463	16055	156953
464	16086	156887
465	16114	156788
466	16145	156718
