iter	RMSE
0	3964.291884
1	3782.087932
2	3606.360336
3	3439.90388
4	3280.634853
5	3128.315876
6	2985.903434
7	2848.052136
8	2717.899157
9	2594.868842
10	2478.739743
11	2370.17516
12	2265.539742
13	2166.796734
14	2070.330887
15	1981.430643
16	1894.834168
17	1815.345128
18	1738.228492
19	1665.6554
20	1596.994693
21	1533.21267
22	1472.004414
23	1416.028779
24	1359.615642
25	1305.434066
26	1254.618064
27	1206.866846
28	1161.893124
29	1120.114365
30	1080.768001
31	1042.08799
32	1007.028495
33	973.6033045
34	942.5829806
35	912.9340845
36	884.6625248
37	858.6763732
38	832.3366829
39	808.2547992
40	786.3719368
41	764.6230149
42	744.8102139
43	725.6299588
44	708.0210351
45	691.1729111
46	675.2423487
47	660.0988648
48	646.1974762
49	632.8485669
50	619.943465
51	608.1486145
52	597.0598633
53	586.7216393
54	577.1142441
55	568.0433093
56	559.7682389
57	551.8130177
58	543.6965421
59	536.1238506
60	528.8495465
61	522.2618409
62	516.3144699
63	510.1174951
64	504.4777541
65	499.3095848
66	494.4770975
67	490.0813313
68	485.5510622
69	480.918322
70	476.8241155
71	472.446504
72	468.6851888
73	465.4746592
74	461.9848159
75	459.147893
76	455.8349676
77	452.721832
78	449.6310627
79	446.969613
80	444.4571676
81	442.3746829
82	440.1605962
83	437.917054
84	435.7998811
85	433.9790158
86	432.5113153
87	430.4890265
88	428.2944731
89	426.8547348
90	425.0082612
91	423.3403465
92	421.7462484
93	420.40456
94	419.0059895
95	417.5756817
96	416.4329196
97	414.9712739
98	413.1681291
99	411.8850918
100	410.4517809
101	409.1193372
102	407.7609569
103	406.6527515
104	405.4048436
105	404.3741825
106	403.6775288
107	402.6177281
108	401.823371
109	401.0003461
110	399.9507089
111	399.3954004
112	398.4863416
113	397.3473868
114	396.360385
115	395.469732
116	394.7298845
117	394.0707485
118	393.0398619
119	392.1739371
120	391.391658
121	390.593853
122	389.9172315
123	389.2926024
124	388.6099926
125	387.9623566
126	387.030163
127	386.5849316
128	385.9568041
129	385.2076003
130	384.6667979
131	383.9514775
132	383.1635044
133	382.5914148
134	381.9755402
135	381.4031352
136	380.8849146
137	380.3432742
138	379.6699017
139	378.9652954
140	378.2281198
141	377.5458813
142	377.1562869
143	376.7719586
144	376.1845857
145	375.8906528
146	375.4561025
147	375.0393352
148	374.713305
149	374.1940917
150	373.8033085
151	373.0946559
152	372.8386273
153	372.5710273
154	372.2051527
155	371.7105735
156	371.4024406
157	370.9314859
158	370.6398744
159	370.3790762
160	370.1230279
161	369.509621
162	369.2297892
163	368.9625307
164	368.5539907
165	368.0896004
166	367.7342093
167	367.4848133
168	367.2006555
169	366.9763298
170	366.778025
171	366.3881162
172	365.9824448
173	365.8480078
174	365.2480123
175	364.7617908
176	364.4302711
177	364.1713911
178	363.8529595
179	363.5173856
180	363.2483204
181	363.0730803
182	362.5646086
183	362.2301302
184	361.9661233
185	361.7413292
186	361.0065721
187	360.7665026
188	360.5452426
189	360.3703731
190	360.1510089
191	359.8723407
192	359.6165421
193	359.3906329
194	359.1412994
195	358.882783
196	358.67758
197	358.4078279
198	358.1975814
199	357.9160835
200	357.7113788
201	357.4794063
202	357.3709332
203	357.1008765
204	356.7181238
205	356.4697506
206	356.2495858
207	356.0572411
208	355.8692526
209	355.6040958
210	355.3818549
211	355.1374961
212	354.9321968
213	354.7624087
214	354.5199809
215	354.270473
216	353.9955388
217	353.8699925
218	353.7030348
219	353.4335753
220	353.150855
221	352.9117472
222	352.5074471
223	352.3103121
224	351.8916228
225	351.6638511
226	351.4896209
227	351.2822493
228	351.0770142
229	350.7639382
230	350.6089684
231	350.4181263
232	350.0057739
233	349.7867369
234	349.633542
235	349.4826083
236	349.3518474
237	349.0681867
238	348.7983952
239	348.7296554
240	348.5725103
241	348.3892621
242	348.1617641
243	348.0451104
244	347.8747283
245	347.7792531
246	347.6807783
247	347.5043005
248	347.3339625
249	347.1829106
250	346.9149613
251	346.6527613
252	346.5373231
253	346.2754321
254	346.1682953
255	345.9837274
256	345.8079211
257	345.6478731
258	345.5014952
259	345.3489673
260	345.2706305
261	345.0579002
262	344.8646106
263	344.6285115
264	344.5246255
265	344.4297459
266	344.2791807
267	344.1120992
268	343.9639626
269	343.8533758
270	343.773675
271	343.6715216
272	343.5043671
273	343.3661766
274	343.2353552
275	343.0118419
276	342.8246863
277	342.7014887
278	342.574339
279	342.4484158
280	342.3035267
281	342.193783
282	342.1192504
283	341.9850399
284	341.8885148
285	341.8124088
286	341.594249
287	341.4981191
288	341.4009342
289	341.3037305
290	341.2865781
291	341.1539752
292	340.9979417
293	340.8441394
294	340.6665147
295	340.5867144
296	340.4400319
297	340.3527269
298	340.2216013
299	340.1188944
300	339.923195
301	339.76045
302	339.6882368
303	339.5709554
304	339.452474
305	339.340761
306	339.2328179
307	339.0058569
308	338.9293633
309	338.8024791
310	338.5541867
311	338.4502176
312	338.3725133
313	338.244997
314	338.0250174
315	337.9161461
316	337.8483458
317	337.7082007
318	337.483705
319	337.4146422
320	337.3799848
321	337.2877519
322	337.1661723
323	337.0989296
324	336.9548314
325	336.8698941
326	336.7753105
327	336.6653483
328	336.455772
329	336.2829894
330	336.1976324
331	336.1452407
332	336.0368892
333	335.934768
334	335.8654615
335	335.7459094
336	335.6493913
337	335.5535746
338	335.4432788
339	335.3643815
340	335.2700818
341	335.1622298
342	335.0568914
343	334.952617
344	334.8023383
345	334.6643754
346	334.5473087
347	334.5096642
348	334.4201461
349	334.3300254
350	334.2777347
351	334.1566392
352	334.0687699
353	333.9922445
354	333.9061218
355	333.7939266
356	333.7079598
357	333.6354873
358	333.5081811
359	333.4395121
360	333.3191325
361	333.2167887
362	333.1316115
363	333.0214227
364	332.9890556
365	332.8828578
366	332.8124323
367	332.7300302
368	332.6120836
369	332.5315109
370	332.4317914
371	332.3500691
372	332.2759301
373	332.1878235
374	332.068978
375	331.9712706
376	331.9290423
377	331.7533307
378	331.6902898
379	331.5851582
380	331.517478
381	331.4524836
382	331.4058048
383	331.3311326
384	331.2733005
385	331.2365835
386	331.1137082
387	331.0165074
388	330.9188599
389	330.7509222
390	330.6870314
391	330.5758116
392	330.4834752
393	330.4506149
394	330.3680398
395	330.2518873
396	330.2018516
397	330.0695059
398	329.9772632
399	329.8868295
400	329.8155737
401	329.7570529
402	329.6952353
403	329.6109141
404	329.4972294
405	329.4206899
406	329.3326682
407	329.2617818
408	329.1703943
409	329.1242214
410	329.0823306
411	329.0518066
412	329.0161369
413	328.9464653
414	328.8687064
415	328.7185828
416	328.6405866
417	328.6051665
418	328.4878528
419	328.4130805
420	328.3259423
421	328.2275667
422	328.18141
423	328.0737403
424	327.9972306
425	327.9152013
426	327.8855417
427	327.8222667
428	327.7219175
429	327.6240864
430	327.5708327
431	327.4900375
432	327.4261206
433	327.3010791
434	327.2326281
435	327.1297314
436	327.0188687
437	326.9431599
438	326.9046438
439	326.8161093
440	326.7809926
441	326.6429075
442	326.5688074
443	326.4797612
444	326.4107491
445	326.2620562
446	326.1601494
447	326.124004
448	326.0449904
449	325.9868108
450	325.9247982
451	325.8504675
452	325.7975011
453	325.7494986
454	325.6828368
455	325.6050435
456	325.4899206
457	325.4397523
458	325.4017522
459	325.329718
460	325.1674573
461	325.1087103
462	325.032041
463	324.9697305
464	324.8783926
465	324.8618979
466	324.7052346
467	324.6823484
468	324.5702112
469	324.4551029
470	324.4294852
471	324.338097
472	324.3060262
473	324.2868116
474	324.2058902
475	324.1778817
476	324.13704
477	324.037828
478	323.9684545
479	323.8904635
480	323.807712
481	323.7147847
482	323.6503718
483	323.6018846
484	323.592672
