iter	RMSE
0	3954.045883
1	3772.476141
2	3597.356457
3	3431.377656
4	3272.518466
5	3120.63895
6	2978.632455
7	2841.091801
8	2711.263886
9	2588.331232
10	2472.757181
11	2364.473196
12	2260.197241
13	2161.73706
14	2065.318315
15	1976.258897
16	1890.187451
17	1811.147824
18	1735.161697
19	1662.799106
20	1594.572847
21	1531.080076
22	1470.084856
23	1413.2576
24	1357.313368
25	1303.631443
26	1254.154941
27	1206.936124
28	1163.837368
29	1121.29428
30	1081.736095
31	1044.00596
32	1008.040163
33	974.6438676
34	943.5074178
35	914.239916
36	885.97066
37	859.9192123
38	834.1273563
39	810.5947843
40	788.9582442
41	767.2154033
42	746.7370571
43	727.7233279
44	709.9774906
45	693.1673587
46	676.9108543
47	661.9628977
48	647.8847243
49	635.1094589
50	622.3988782
51	610.5041056
52	599.5394147
53	588.9333779
54	579.1715033
55	570.0804313
56	561.7937679
57	554.1381255
58	546.2653538
59	538.7702103
60	531.777851
61	525.5002467
62	519.6265795
63	513.7771968
64	508.1312091
65	502.8431513
66	497.8746221
67	493.2441894
68	488.8931127
69	484.6176467
70	480.8710287
71	477.0317439
72	473.6001706
73	470.0485152
74	466.3453366
75	463.3524138
76	460.0133453
77	457.0280257
78	454.0241177
79	451.7919806
80	449.6082557
81	447.3626994
82	444.4701551
83	442.6496495
84	440.3687227
85	438.039742
86	436.1675173
87	434.4556837
88	432.6957969
89	431.3123221
90	429.3546127
91	427.5937137
92	426.1734928
93	424.536428
94	423.217539
95	421.9556256
96	420.6035146
97	419.1661304
98	417.8671755
99	416.4091419
100	415.162673
101	413.9604972
102	412.8962905
103	411.7548308
104	410.6681265
105	409.3073757
106	408.0998667
107	406.75114
108	405.5526844
109	404.1865287
110	403.3083741
111	402.2743767
112	401.4212902
113	400.531957
114	399.6541592
115	399.0440392
116	398.1762001
117	397.5008042
118	396.6341744
119	395.8813868
120	395.2373073
121	394.561408
122	393.7106503
123	392.4756173
124	391.7262169
125	390.765274
126	390.3324706
127	389.7060908
128	388.8548077
129	388.1620071
130	387.4478721
131	386.6764752
132	386.0803021
133	385.574182
134	385.1212723
135	384.5745747
136	384.1303438
137	383.5085907
138	382.8640323
139	382.3682842
140	381.8633251
141	381.4743339
142	381.0085664
143	380.5858384
144	380.1452229
145	379.2463005
146	378.7674325
147	378.2350717
148	377.8962891
149	377.3188501
150	376.8111054
151	376.4990473
152	375.9503152
153	375.6235992
154	375.2633953
155	374.7032394
156	374.4621781
157	374.0628447
158	373.6919823
159	373.2890356
160	372.8938572
161	372.5438673
162	372.1598216
163	371.875954
164	371.5596216
165	371.2967835
166	370.7841103
167	370.4354198
168	370.1927937
169	369.7904729
170	369.5462749
171	369.1431891
172	368.9551298
173	368.7230736
174	368.4148396
175	368.1857055
176	367.8714014
177	367.6875613
178	367.3219892
179	367.06238
180	366.4386761
181	366.1122574
182	365.6733555
183	365.2156057
184	364.9481072
185	364.8142264
186	364.5519975
187	364.2839835
188	364.0219466
189	363.7291326
190	363.6118271
191	363.3269113
192	363.1078141
193	362.8847801
194	362.5924747
195	362.3283525
196	362.1132414
197	361.8906718
198	361.6464004
199	361.386839
200	361.0344743
201	360.7587064
202	360.4911997
203	360.3082735
204	360.1817938
205	359.6225495
206	359.2701461
207	359.0190968
208	358.7150754
209	358.4799475
210	358.3188284
211	358.1643145
212	357.7329901
213	357.5978705
214	357.3816839
215	357.2198229
216	356.7823235
217	356.4174034
218	356.1733954
219	355.9595107
220	355.8479896
221	355.3529183
222	355.189249
223	355.0773652
224	354.7849098
225	354.6127083
226	354.542949
227	354.4193667
228	354.0136999
229	353.6576719
230	353.4507996
231	353.2813238
232	353.0988227
233	352.8614239
234	352.5716499
235	352.4105585
236	352.2584096
237	352.1275296
238	351.8815338
239	351.6953391
240	351.3506985
241	351.1360232
242	350.9711118
243	350.8331441
244	350.6264537
245	350.3808597
246	350.1085476
247	349.8687852
248	349.7370201
249	349.5666457
250	349.4291242
251	349.2560159
252	349.0081866
253	348.8413863
254	348.6610537
255	348.3835589
256	348.3376726
257	348.1952624
258	348.1326725
259	347.9767935
260	347.9136282
261	347.7229238
262	347.6540009
263	347.4233982
264	347.2756898
265	347.1711755
266	346.92645
267	346.7643167
268	346.7182233
269	346.6736157
270	346.5812829
271	346.4112089
272	346.2064416
273	346.092817
274	346.0592377
275	345.9594358
276	345.7336872
277	345.5725433
278	345.3762665
279	345.216341
280	345.0600524
281	344.9923318
282	344.829484
283	344.7534371
284	344.6959045
285	344.6564043
286	344.5246413
287	344.3412686
288	344.288212
289	344.1626625
290	344.0381583
291	343.9832079
292	343.805831
293	343.714458
294	343.6722054
295	343.4498094
296	343.2939949
297	343.1802835
298	343.0347989
299	342.9169011
300	342.8443329
301	342.8097474
302	342.5714234
303	342.4853322
304	342.3138384
305	342.1642151
306	342.0557739
307	342.008701
308	341.9139714
309	341.8378547
310	341.6556114
311	341.6257277
312	341.346167
313	341.3181904
314	341.1504181
315	341.0808684
316	340.9639445
317	340.8604054
318	340.7926781
319	340.7082991
320	340.5423417
321	340.5124084
322	340.3934865
323	340.3102242
324	340.2457404
325	340.135114
326	340.0180594
327	339.9127384
328	339.8124612
329	339.7248254
330	339.6985313
331	339.5591419
332	339.4931258
333	339.3603241
334	339.2178295
335	339.1010402
336	339.0331696
337	338.9943657
338	338.9277819
339	338.9037138
340	338.7281842
341	338.5937968
342	338.4842021
343	338.3706879
344	338.2991475
345	338.1518502
346	338.0623864
347	337.9096803
348	337.7271227
349	337.527627
350	337.424022
351	337.4090853
352	337.3388064
353	337.2992415
354	337.1260028
355	336.9954928
356	336.9339043
357	336.8903688
358	336.7857937
359	336.6841727
360	336.6605401
361	336.5637984
362	336.4309518
363	336.3088328
364	336.2280667
365	336.1848441
366	336.1323398
367	336.0891669
368	336.0527459
369	335.9731487
370	335.7926095
371	335.6729695
372	335.535578
373	335.4744838
374	335.4092255
375	335.2547698
376	335.1288124
377	335.0666019
378	334.9055778
379	334.6870491
380	334.6072707
381	334.458579
382	334.3825805
383	334.3613511
384	334.2002966
385	334.1330575
386	334.0457931
387	333.8858047
388	333.8276296
389	333.7346639
390	333.6699818
391	333.5265537
392	333.3238864
393	333.2377872
394	333.1858694
395	333.0631655
396	332.977122
397	332.9529096
398	332.8872635
399	332.7522443
400	332.6881721
401	332.647331
402	332.5584569
403	332.4619096
404	332.3484276
405	332.2724476
406	332.2186338
407	332.0687997
408	332.0215543
409	331.9695193
410	331.8697922
411	331.771677
412	331.6834947
413	331.6077691
414	331.4952959
415	331.4249798
416	331.3721024
417	331.3246807
418	331.2744517
419	331.2210067
420	331.0368719
421	330.9814624
422	330.9140103
423	330.6345897
424	330.4990638
425	330.4067806
426	330.3771369
427	330.297644
428	330.2292464
429	330.1686068
430	330.1423505
431	330.1169482
432	330.1068916
433	330.0540527
