iter	Passed	Remaining
0	30	154749
1	68	170054
2	105	175585
3	142	178227
4	184	183842
5	219	182416
6	253	181109
7	287	179367
8	326	181248
9	358	178654
10	392	178163
11	424	176370
12	454	174263
13	482	171676
14	517	171887
15	554	172638
16	589	172766
17	630	174447
18	670	175649
19	708	176423
20	748	177425
21	782	177060
22	819	177301
23	853	177019
24	886	176479
25	925	177038
26	974	179438
27	1007	178965
28	1040	178430
29	1070	177295
30	1098	176073
31	1126	174885
32	1180	177755
33	1229	179580
34	1262	179165
35	1296	178776
36	1338	179533
37	1378	179958
38	1415	180064
39	1455	180516
40	1492	180568
41	1529	180521
42	1566	180566
43	1595	179727
44	1624	178825
45	1654	178149
46	1690	178196
47	1723	177786
48	1758	177637
49	1788	177067
50	1827	177335
51	1861	177089
52	1894	176847
53	1926	176486
54	1960	176265
55	1993	176019
56	2026	175776
57	2060	175566
58	2095	175505
59	2126	175059
60	2157	174684
61	2185	174097
62	2215	173602
63	2251	173619
64	2286	173602
65	2321	173562
66	2354	173386
67	2391	173436
68	2424	173283
69	2457	173053
70	2491	172963
71	2524	172792
72	2558	172706
73	2591	172521
74	2624	172324
75	2659	172324
76	2694	172276
77	2722	171799
78	2751	171386
79	2780	170980
80	2812	170798
81	2846	170734
82	2882	170786
83	2914	170594
84	2949	170524
85	2984	170527
86	3016	170351
87	3048	170159
88	3083	170134
89	3114	169915
90	3148	169857
91	3183	169856
92	3217	169792
93	3247	169480
94	3275	169130
95	3304	168791
96	3338	168769
97	3374	168817
98	3407	168682
99	3440	168604
100	3475	168597
101	3508	168466
102	3542	168432
103	3573	168207
104	3609	168251
105	3640	168078
106	3679	168240
107	3714	168244
108	3750	168292
109	3781	168112
110	3812	167910
111	3840	167622
112	3874	167553
113	3911	167642
114	3944	167536
115	3977	167455
116	4012	167454
117	4048	167495
118	4084	167552
119	4119	167527
120	4154	167503
121	4188	167477
122	4223	167477
123	4261	167569
124	4295	167526
125	4325	167302
126	4354	167064
127	4383	166833
128	4418	166845
129	4452	166780
130	4489	166858
131	4521	166733
132	4556	166749
133	4593	166815
134	4626	166726
135	4658	166598
136	4693	166601
137	4730	166677
138	4760	166477
139	4799	166598
140	4846	167007
141	4875	166802
142	4903	166559
143	4933	166369
144	4968	166362
145	5004	166370
146	5044	166534
147	5078	166478
148	5111	166407
149	5142	166269
150	5177	166272
151	5211	166203
152	5244	166153
153	5279	166124
154	5315	166165
155	5352	166189
156	5388	166212
157	5422	166170
158	5456	166132
159	5489	166068
160	5526	166092
161	5561	166080
162	5598	166127
163	5634	166160
164	5672	166233
165	5708	166242
166	5749	166402
167	5787	166456
168	5826	166561
169	5864	166621
170	5903	166700
171	5938	166687
172	5972	166648
173	6005	166579
174	6036	166423
175	6060	166114
176	6087	165872
177	6114	165642
178	6149	165635
179	6182	165559
180	6214	165455
181	6248	165403
182	6281	165342
183	6315	165303
184	6348	165243
185	6382	165182
186	6414	165107
187	6449	165085
188	6484	165064
189	6516	164968
190	6551	164944
191	6583	164864
192	6615	164763
193	6647	164690
194	6677	164544
195	6705	164357
196	6734	164181
197	6769	164166
198	6803	164146
199	6835	164044
200	6871	164053
201	6904	164008
202	6937	163926
203	6971	163887
204	7002	163790
205	7037	163782
206	7073	163779
207	7112	163861
208	7147	163856
209	7181	163805
210	7211	163680
211	7238	163485
212	7268	163352
213	7297	163198
214	7333	163205
215	7368	163204
216	7401	163131
217	7434	163072
218	7468	163036
219	7501	162985
220	7533	162902
221	7571	162952
222	7605	162925
223	7637	162840
224	7685	163096
225	7716	163002
226	7747	162900
227	7774	162722
228	7803	162587
229	7831	162418
230	7866	162393
231	7899	162358
232	7932	162283
233	7967	162281
234	8001	162241
235	8035	162206
236	8070	162193
237	8106	162198
238	8142	162204
239	8178	162214
240	8242	162765
241	8281	162818
242	8311	162708
243	8339	162548
244	8367	162401
245	8395	162248
246	8430	162229
247	8463	162178
248	8496	162111
249	8531	162105
250	8566	162083
251	8598	162004
252	8631	161960
253	8665	161906
254	8701	161921
255	8736	161892
256	8770	161867
257	8803	161813
258	8836	161757
259	8865	161630
260	8892	161458
261	8921	161332
262	8955	161292
263	8988	161248
264	9020	161185
265	9051	161097
266	9084	161032
267	9118	161011
268	9149	160912
269	9181	160851
270	9215	160807
271	9249	160773
272	9283	160735
273	9317	160707
274	9351	160680
275	9387	160682
276	9422	160654
277	9456	160631
278	9492	160625
279	9523	160532
280	9553	160445
281	9583	160338
282	9621	160366
283	9653	160301
284	9683	160202
285	9713	160102
286	9748	160078
287	9787	160141
288	9822	160110
289	9856	160082
290	9891	160058
291	9937	160222
292	9970	160176
293	10005	160148
294	10034	160039
295	10063	159921
296	10092	159817
297	10126	159781
298	10159	159738
299	10192	159675
300	10225	159639
301	10256	159552
302	10289	159507
303	10321	159445
304	10357	159443
305	10392	159412
306	10426	159393
307	10458	159322
308	10493	159310
309	10528	159289
310	10564	159288
311	10596	159219
312	10628	159149
313	10656	159030
314	10685	158931
315	10713	158804
316	10750	158817
317	10783	158769
318	10817	158735
319	10848	158653
320	10882	158624
321	10912	158531
322	10946	158504
323	10980	158474
324	11012	158404
325	11045	158370
326	11080	158346
327	11113	158299
328	11149	158297
329	11190	158360
330	11219	158254
331	11247	158147
332	11275	158019
333	11301	157878
334	11336	157858
335	11367	157798
336	11396	157696
337	11428	157630
338	11463	157619
339	11494	157536
340	11528	157510
341	11562	157475
342	11595	157432
343	11629	157397
344	11663	157371
345	11696	157330
346	11729	157283
347	11761	157229
348	11792	157149
349	11823	157081
350	11858	157059
351	11887	156971
352	11919	156909
353	11953	156881
354	11985	156827
355	12017	156766
356	12048	156700
357	12077	156597
358	12109	156548
359	12141	156484
360	12172	156421
361	12202	156340
362	12235	156300
363	12267	156244
364	12300	156201
365	12328	156088
366	12353	155952
367	12380	155829
368	12413	155787
369	12445	155738
370	12478	155696
371	12511	155654
372	12548	155659
373	12582	155627
374	12613	155565
375	12646	155529
376	12679	155488
377	12711	155432
378	12746	155408
379	12777	155348
380	12808	155284
381	12840	155233
382	12866	155107
383	12892	154982
384	12923	154916
385	12956	154871
386	12987	154811
387	13017	154729
388	13048	154668
389	13081	154629
390	13113	154582
391	13142	154493
392	13173	154425
393	13202	154344
394	13235	154303
395	13267	154256
396	13299	154197
397	13330	154135
398	13358	154040
399	13387	153961
400	13422	153941
401	13452	153866
402	13483	153810
403	13514	153741
404	13544	153669
405	13576	153620
406	13607	153563
407	13639	153511
408	13672	153475
409	13704	153420
410	13738	153396
411	13772	153367
412	13803	153306
413	13835	153260
414	13863	153171
415	13891	153078
416	13918	152968
417	13946	152874
418	13976	152805
419	14006	152732
420	14037	152677
421	14069	152630
422	14100	152573
423	14135	152553
424	14169	152529
425	14200	152470
426	14232	152428
427	14265	152385
428	14296	152332
429	14328	152279
430	14357	152198
431	14381	152076
432	14412	152016
433	14444	151964
434	14474	151895
435	14502	151812
436	14547	151901
437	14590	151969
438	14622	151924
439	14657	151906
440	14690	151871
441	14720	151805
442	14753	151763
443	14780	151669
444	14810	151603
445	14837	151500
446	14866	151425
447	14897	151373
448	14929	151327
449	14962	151290
450	14995	151253
451	15025	151189
452	15056	151127
453	15087	151070
454	15126	151100
455	15159	151066
456	15192	151026
457	15224	150983
458	15255	150924
459	15284	150851
460	15310	150749
461	15337	150655
462	15371	150627
463	15402	150567
464	15430	150489
465	15460	150423
466	15489	150347
467	15520	150296
468	15548	150217
469	15578	150154
470	15614	150143
471	15645	150094
472	15676	150038
473	15705	149968
474	15737	149918
475	15768	149866
476	15801	149828
477	15832	149776
478	15862	149719
479	15893	149663
480	15928	149646
481	15959	149593
482	15992	149560
483	16024	149520
484	16057	149481
485	16085	149405
486	16117	149356
487	16148	149311
488	16176	149229
489	16207	149174
490	16239	149134
491	16269	149075
492	16311	149117
493	16361	149241
494	16398	149245
495	16431	149212
496	16460	149139
497	16492	149099
498	16523	149038
499	16556	149006
500	16587	148955
501	16620	148921
502	16653	148884
503	16682	148816
504	16714	148778
505	16745	148727
506	16773	148646
507	16803	148587
508	16832	148516
509	16865	148479
510	16899	148460
511	16931	148416
512	16962	148365
513	17009	148456
514	17058	148554
515	17089	148508
516	17122	148470
517	17153	148416
518	17183	148363
519	17214	148312
520	17244	148252
521	17272	148173
522	17303	148121
523	17331	148044
524	17365	148021
525	17395	147963
526	17428	147927
527	17460	147881
528	17491	147830
529	17521	147772
530	17550	147709
531	17580	147650
532	17612	147606
533	17643	147558
534	17673	147503
535	17707	147474
536	17737	147419
537	17766	147346
538	17797	147297
539	17828	147251
540	17860	147205
541	17895	147188
542	17927	147153
543	17959	147105
544	17990	147059
545	18021	147009
546	18052	146957
547	18084	146916
548	18114	146864
549	18146	146824
550	18175	146755
551	18207	146714
552	18240	146680
553	18268	146605
554	18297	146548
555	18325	146469
556	18353	146400
557	18380	146321
558	18414	146294
559	18445	146248
560	18475	146193
561	18505	146136
562	18539	146108
563	18569	146056
564	18604	146034
565	18635	145986
566	18665	145932
567	18697	145895
568	18732	145878
569	18766	145850
570	18796	145797
571	18826	145737
572	18853	145662
573	18884	145614
574	18914	145560
575	18943	145499
576	18976	145463
577	19007	145417
578	19039	145375
579	19069	145325
580	19100	145276
581	19132	145236
582	19163	145190
583	19192	145130
584	19227	145108
585	19256	145047
586	19297	145075
587	19327	145023
588	19356	144963
589	19391	144946
590	19425	144916
591	19455	144865
592	19496	144894
593	19525	144831
594	19555	144779
595	19586	144732
596	19617	144680
597	19646	144621
598	19675	144562
599	19707	144525
600	19741	144496
601	19769	144431
602	19800	144382
603	19829	144320
604	19857	144254
605	19891	144227
606	19924	144201
607	19957	144163
608	19996	144180
609	20029	144147
610	20062	144112
611	20093	144069
612	20126	144038
613	20158	143996
614	20195	143992
615	20231	143985
616	20261	143932
617	20290	143872
618	20318	143801
619	20344	143722
620	20376	143684
621	20407	143640
622	20440	143605
623	20475	143590
624	20507	143549
625	20538	143507
626	20567	143450
627	20598	143403
628	20630	143366
629	20661	143315
630	20695	143293
631	20728	143262
632	20761	143231
633	20790	143172
634	20820	143119
635	20849	143063
636	20884	143045
637	20915	142999
638	20946	142954
639	20982	142942
640	21039	143074
641	21072	143045
642	21105	143010
643	21136	142963
644	21167	142920
645	21198	142874
646	21228	142826
647	21256	142760
648	21285	142704
649	21313	142634
650	21345	142597
651	21379	142572
652	21412	142540
653	21442	142491
654	21477	142471
655	21512	142451
656	21542	142405
657	21572	142355
658	21603	142308
659	21633	142259
660	21665	142218
661	21692	142151
662	21725	142114
663	21754	142060
664	21783	142001
665	21807	141913
666	21837	141860
667	21870	141829
668	21900	141781
669	21930	141732
670	21958	141667
671	21988	141614
672	22019	141573
673	22050	141531
674	22081	141487
675	22114	141452
676	22146	141417
677	22177	141373
678	22221	141410
679	22254	141381
680	22282	141321
681	22309	141247
682	22336	141182
683	22371	141164
684	22402	141121
685	22436	141094
686	22469	141063
687	22496	140995
688	22529	140964
689	22562	140935
690	22595	140900
