iter	RMSE
0	3957.261138
1	3775.60029
2	3600.436134
3	3433.38793
4	3274.724269
5	3126.605152
6	2984.240585
7	2846.463459
8	2716.290011
9	2593.113054
10	2476.794131
11	2364.381526
12	2260.105513
13	2161.752082
14	2065.632421
15	1976.439036
16	1890.197457
17	1811.499883
18	1735.725346
19	1663.276296
20	1595.176539
21	1531.631626
22	1470.496587
23	1413.554453
24	1357.692091
25	1304.181912
26	1253.602891
27	1205.884043
28	1160.773531
29	1119.119829
30	1080.083858
31	1041.260989
32	1005.268026
33	971.8054445
34	939.2998816
35	909.9198157
36	882.3188723
37	856.9135156
38	830.7873255
39	806.835384
40	785.2528336
41	763.4837086
42	743.0928297
43	724.7726381
44	707.309589
45	690.4376977
46	674.2380409
47	659.6125866
48	645.4798861
49	632.0348187
50	619.4274742
51	607.7171726
52	596.8130246
53	586.1446286
54	576.2379954
55	567.2316454
56	558.3558089
57	549.8357924
58	542.0208578
59	534.9143422
60	527.8055758
61	521.5394791
62	515.0926889
63	509.5343381
64	503.982618
65	498.6774302
66	493.9853235
67	489.1648836
68	484.9064212
69	480.7355191
70	477.1301978
71	473.2730823
72	469.499975
73	466.0563045
74	462.9487933
75	459.7899606
76	456.4061658
77	453.4436628
78	450.5254075
79	448.4265089
80	445.7875394
81	443.2638395
82	440.5913593
83	438.5277428
84	436.0063863
85	433.7723464
86	432.0258052
87	430.365425
88	429.0569078
89	427.3905278
90	425.3779238
91	423.5847964
92	421.7456669
93	420.5668453
94	419.2113374
95	417.7815361
96	416.3491954
97	414.5650673
98	413.098195
99	411.4989086
100	410.1764386
101	408.9192565
102	407.6638512
103	406.5720673
104	405.6061009
105	404.6253194
106	403.6181234
107	402.4828353
108	401.3848366
109	400.2555752
110	399.2112156
111	398.26694
112	397.4247956
113	396.5246526
114	395.930754
115	394.9167508
116	394.2455788
117	393.2482835
118	392.5345332
119	391.7383159
120	391.2463144
121	390.3972482
122	389.6498343
123	388.8519371
124	388.247527
125	387.1960507
126	386.5142043
127	385.9562623
128	385.2377234
129	384.6520122
130	384.0258345
131	383.6404865
132	382.8924201
133	382.3251385
134	381.8191649
135	381.1798351
136	380.6989297
137	380.2714411
138	379.6002495
139	379.1343704
140	378.6711227
141	378.2505523
142	377.4483131
143	376.9286491
144	376.4514059
145	376.1778252
146	375.7955583
147	375.2380789
148	374.6035608
149	374.1039738
150	373.600158
151	373.2025256
152	372.6698025
153	372.1979503
154	371.7818765
155	371.2182571
156	370.976784
157	370.6342961
158	370.2471353
159	369.6781302
160	369.3342424
161	369.0699422
162	368.7140877
163	368.4219156
164	368.1705842
165	367.8742081
166	367.4691144
167	367.2175855
168	366.7846344
169	366.1961361
170	365.8476366
171	365.494896
172	365.2646858
173	364.8745089
174	364.6795138
175	364.4373885
176	364.2498311
177	363.9703945
178	363.7296898
179	363.4865252
180	363.3346967
181	363.0132534
182	362.7177722
183	362.4304567
184	361.9735403
185	361.6168003
186	361.1825655
187	360.909601
188	360.6251271
189	360.4423095
190	360.1762295
191	359.8216022
192	359.5559212
193	359.3785213
194	358.9692826
195	358.5259077
196	358.2681056
197	358.0582895
198	357.8366521
199	357.5731917
200	357.4377807
201	357.1757838
202	356.958787
203	356.8741439
204	356.6322671
205	356.2873238
206	356.1354102
207	355.9365845
208	355.6429134
209	355.4073675
210	355.2012494
211	355.0279116
212	354.8442017
213	354.7229121
214	354.405616
215	354.1730585
216	353.9719005
217	353.7394419
218	353.5149428
219	353.2225869
220	353.0517677
221	352.8159854
222	352.64702
223	352.5694097
224	352.3835931
225	352.20666
226	352.1061459
227	351.9075668
228	351.7010941
229	351.5970718
230	351.5019814
231	351.2060046
232	350.9757367
233	350.8070103
234	350.6704017
235	350.5147429
236	350.1303918
237	350.0159404
238	349.9032113
239	349.7522278
240	349.6788834
