iter	Passed	Remaining
0	31	157137
1	63	157915
2	96	161294
3	126	157388
4	158	158376
5	183	152686
6	209	149126
7	247	154222
8	283	156965
9	314	156747
10	350	159022
11	385	160118
12	421	161650
13	456	162600
14	490	162960
15	525	163802
16	564	165392
17	603	167067
18	637	167253
19	665	165676
20	695	164817
21	722	163501
22	751	162568
23	786	163079
24	820	163312
25	852	163031
26	885	163158
27	919	163218
28	952	163342
29	985	163321
30	1019	163486
31	1050	163158
32	1084	163238
33	1118	163316
34	1155	163858
35	1188	163883
36	1220	163774
37	1250	163233
38	1277	162503
39	1305	161821
40	1339	161978
41	1371	161901
42	1404	161930
43	1436	161844
44	1469	161760
45	1504	162077
46	1536	161903
47	1566	161652
48	1602	161886
49	1632	161591
50	1664	161523
51	1696	161466
52	1725	161040
53	1752	160534
54	1778	159903
55	1804	159334
56	1837	159387
57	1870	159356
58	1905	159583
59	1937	159507
60	1968	159398
61	2001	159408
62	2032	159299
63	2064	159223
64	2098	159308
65	2130	159294
66	2162	159253
67	2197	159355
68	2226	159144
69	2253	158703
70	2281	158421
71	2311	158214
72	2347	158425
73	2379	158385
74	2414	158540
75	2444	158350
76	2475	158259
77	2508	158306
78	2541	158299
79	2576	158459
80	2613	158687
81	2650	158975
82	2691	159457
83	2722	159303
84	2752	159182
85	2781	158945
86	2810	158710
87	2847	158943
88	2885	159248
89	2918	159238
90	2955	159446
91	2990	159545
92	3028	159791
93	3062	159828
94	3099	160050
95	3134	160142
96	3168	160177
97	3199	160048
98	3228	159810
99	3253	159439
100	3280	159115
101	3309	158927
102	3343	158984
103	3376	158951
104	3412	159072
105	3447	159189
106	3482	159236
107	3516	159279
108	3554	159516
109	3589	159552
110	3622	159532
111	3655	159543
112	3689	159555
113	3719	159428
114	3748	159208
115	3775	158978
116	3805	158815
117	3837	158776
118	3872	158839
119	3905	158806
120	3937	158787
121	3969	158721
122	4001	158680
123	4032	158569
124	4065	158569
125	4098	158539
126	4129	158452
127	4162	158429
128	4194	158390
129	4225	158311
130	4258	158283
131	4291	158281
132	4321	158145
133	4347	157872
134	4374	157657
135	4401	157417
136	4431	157306
137	4467	157403
138	4501	157440
139	4549	157927
140	4599	158516
141	4632	158473
142	4674	158754
143	4707	158764
144	4739	158694
145	4770	158609
146	4803	158567
147	4831	158407
148	4859	158198
149	4885	157964
150	4912	157739
151	4943	157667
152	4984	157912
153	5019	157943
154	5052	157922
155	5084	157888
156	5115	157803
157	5146	157704
158	5178	157663
159	5208	157542
160	5241	157548
161	5274	157522
162	5306	157460
163	5336	157369
164	5369	157334
165	5394	157093
166	5422	156924
167	5448	156720
168	5481	156705
169	5517	156761
170	5547	156661
171	5579	156609
172	5609	156524
173	5640	156441
174	5676	156505
175	5708	156477
176	5741	156437
177	5775	156450
178	5808	156431
179	5839	156373
180	5872	156345
181	5902	156256
182	5930	156105
183	5958	155945
184	5983	155723
185	6008	155508
186	6040	155463
187	6076	155528
188	6108	155499
189	6140	155457
190	6174	155462
191	6204	155381
192	6237	155351
193	6268	155296
194	6301	155270
195	6333	155224
196	6365	155206
197	6396	155140
198	6431	155165
199	6461	155072
200	6488	154913
201	6514	154734
202	6540	154567
203	6573	154539
204	6604	154479
205	6638	154497
206	6669	154423
207	6700	154375
208	6737	154436
209	6769	154417
210	6802	154405
211	6841	154508
212	6885	154742
213	6924	154851
214	6960	154905
215	6990	154836
216	7018	154690
217	7046	154563
218	7076	154477
219	7106	154395
220	7140	154407
221	7177	154482
222	7214	154551
223	7254	154676
224	7292	154752
225	7328	154797
226	7362	154813
227	7399	154878
228	7437	154943
229	7474	155024
230	7506	154963
231	7535	154864
232	7565	154783
233	7597	154744
234	7634	154806
235	7676	154962
236	7715	155065
237	7755	155178
238	7789	155167
239	7833	155367
240	7868	155371
241	7900	155330
242	7932	155289
243	7965	155271
244	8000	155283
245	8035	155278
246	8067	155234
247	8093	155084
248	8120	154940
249	8146	154781
250	8180	154782
251	8212	154724
252	8245	154707
253	8278	154678
254	8312	154678
255	8344	154641
256	8378	154622
257	8409	154567
258	8451	154703
259	8486	154719
260	8520	154701
261	8554	154695
262	8585	154638
263	8612	154508
264	8639	154365
265	8666	154236
266	8698	154187
267	8734	154223
268	8768	154221
269	8800	154163
270	8834	154157
271	8866	154113
272	8897	154052
273	8931	154053
274	8968	154100
275	9002	154088
276	9034	154047
277	9068	154038
278	9100	153994
279	9135	153999
280	9166	153944
281	9195	153849
282	9223	153735
283	9251	153619
284	9278	153497
285	9311	153478
286	9344	153453
287	9383	153525
288	9416	153494
289	9448	153458
290	9482	153443
291	9514	153405
292	9548	153394
293	9581	153369
294	9613	153322
295	9648	153330
296	9678	153264
297	9706	153157
298	9729	152967
299	9756	152855
300	9783	152739
301	9817	152718
302	9850	152694
303	9882	152654
304	9913	152599
305	9945	152561
306	9977	152527
307	10006	152435
308	10046	152514
309	10080	152513
310	10112	152472
311	10148	152484
312	10182	152479
313	10214	152440
314	10243	152349
315	10268	152215
316	10297	152118
317	10322	151984
318	10356	151974
319	10387	151915
320	10420	151885
321	10453	151873
322	10487	151850
323	10519	151813
324	10549	151755
325	10582	151730
326	10614	151681
327	10647	151664
328	10679	151623
329	10711	151577
330	10741	151517
331	10768	151408
332	10796	151309
333	10822	151184
334	10855	151167
335	10888	151141
336	10921	151120
337	10955	151106
338	10992	151143
339	11037	151273
340	11090	151520
341	11121	151472
342	11153	151427
343	11184	151379
344	11217	151360
345	11249	151318
346	11275	151192
347	11302	151085
348	11330	150995
349	11355	150867
350	11389	150848
351	11421	150816
352	11456	150819
353	11492	150829
354	11528	150841
355	11558	150778
356	11597	150829
357	11628	150782
358	11659	150733
359	11691	150690
360	11721	150632
361	11753	150587
362	11785	150543
363	11811	150438
364	11838	150327
365	11871	150301
366	11904	150277
367	11936	150242
368	11968	150201
369	11998	150139
370	12032	150132
371	12062	150068
372	12094	150030
373	12124	149962
374	12155	149920
375	12189	149908
376	12222	149877
377	12253	149834
378	12286	149803
379	12311	149677
380	12338	149583
381	12364	149473
382	12392	149390
383	12426	149370
384	12460	149362
385	12490	149308
386	12527	149324
387	12558	149273
388	12588	149216
389	12623	149217
390	12655	149174
391	12687	149138
392	12720	149114
393	12750	149063
394	12780	149001
395	12813	148968
396	12842	148903
397	12868	148799
398	12896	148711
399	12923	148614
400	12954	148577
401	12986	148535
402	13034	148680
403	13064	148628
404	13098	148616
405	13131	148586
406	13163	148554
407	13202	148587
408	13238	148601
409	13273	148602
410	13309	148606
411	13342	148583
412	13371	148508
413	13398	148417
414	13427	148347
415	13450	148218
416	13481	148163
417	13516	148163
418	13551	148164
419	13587	148163
420	13622	148162
421	13655	148139
422	13688	148115
423	13720	148083
424	13752	148041
425	13784	148009
426	13817	147982
427	13849	147940
428	13876	147858
429	13904	147772
430	13930	147673
431	13956	147577
432	13990	147563
433	14022	147530
434	14054	147491
435	14082	147415
436	14116	147404
437	14149	147373
438	14184	147372
439	14219	147363
440	14246	147280
441	14281	147269
442	14315	147258
443	14346	147216
444	14378	147176
445	14405	147091
446	14433	147010
447	14460	146926
448	14492	146898
449	14527	146887
450	14559	146857
451	14589	146803
452	14623	146780
453	14653	146725
454	14684	146687
455	14715	146638
456	14747	146601
457	14780	146575
458	14812	146546
459	14844	146508
460	14875	146467
461	14903	146391
462	14930	146302
463	14954	146195
464	14986	146157
465	15019	146134
466	15050	146089
467	15080	146035
468	15112	145998
469	15143	145958
470	15176	145933
471	15208	145895
472	15240	145860
473	15272	145826
474	15305	145809
475	15336	145763
476	15369	145734
477	15400	145694
478	15428	145616
479	15454	145529
480	15479	145427
481	15512	145402
482	15544	145374
483	15575	145325
484	15609	145312
485	15641	145274
486	15672	145231
487	15705	145210
488	15736	145172
489	15769	145139
490	15803	145131
491	15834	145089
492	15866	145050
493	15894	144976
494	15923	144919
495	15950	144836
496	15977	144764
497	16012	144756
498	16044	144720
499	16075	144679
500	16108	144655
501	16138	144606
502	16171	144583
503	16204	144553
504	16237	144528
505	16269	144494
506	16301	144462
507	16332	144421
508	16366	144408
509	16395	144340
510	16419	144242
511	16445	144158
512	16480	144146
513	16513	144124
514	16547	144104
515	16581	144096
516	16616	144087
517	16646	144036
518	16678	144001
519	16718	144037
520	16749	143995
521	16781	143957
522	16813	143927
523	16846	143901
524	16873	143826
525	16902	143767
526	16928	143684
527	16955	143604
528	16985	143558
529	17013	143493
530	17044	143449
531	17074	143400
532	17105	143357
533	17133	143292
534	17165	143258
535	17197	143225
536	17225	143160
537	17256	143121
538	17287	143076
539	17317	143031
540	17351	143017
541	17384	142987
542	17414	142942
543	17442	142877
544	17471	142817
545	17503	142783
546	17532	142725
547	17563	142688
548	17593	142642
549	17622	142583
550	17653	142545
551	17684	142504
552	17718	142482
553	17748	142437
554	17781	142413
555	17811	142363
556	17840	142306
557	17870	142257
558	17903	142236
559	17930	142164
560	17959	142109
561	17988	142053
562	18020	142020
563	18051	141976
564	18082	141937
565	18112	141891
566	18141	141836
567	18175	141822
568	18208	141792
569	18237	141739
570	18267	141691
571	18298	141654
572	18329	141610
573	18356	141543
574	18387	141506
575	18417	141456
576	18447	141410
577	18475	141345
578	18505	141300
579	18533	141237
580	18564	141197
581	18598	141181
582	18629	141146
583	18660	141101
584	18690	141059
585	18721	141016
586	18752	140976
587	18782	140932
588	18811	140878
589	18842	140840
590	18874	140807
591	18898	140716
592	18928	140668
593	18960	140640
594	18994	140625
595	19022	140561
596	19054	140527
597	19083	140480
598	19112	140426
599	19141	140373
600	19172	140333
601	19200	140268
602	19231	140232
603	19261	140190
604	19293	140153
605	19321	140099
606	19350	140043
607	19377	139973
608	19406	139925
609	19439	139899
610	19476	139908
611	19509	139879
612	19545	139877
613	19580	139870
614	19616	139863
615	19651	139857
616	19688	139863
617	19721	139839
618	19758	139844
619	19797	139858
620	19826	139807
621	19855	139756
622	19881	139678
623	19906	139598
624	19935	139546
625	19968	139524
626	20000	139495
627	20032	139462
628	20062	139414
629	20093	139378
630	20123	139331
631	20156	139308
632	20190	139289
633	20219	139239
634	20248	139191
635	20280	139154
636	20309	139106
637	20338	139052
638	20368	139007
639	20401	138987
640	20454	139097
641	20494	139119
642	20524	139073
643	20552	139017
644	20585	138993
645	20616	138953
646	20646	138909
647	20687	138936
648	20718	138901
649	20747	138850
650	20779	138815
651	20808	138763
652	20835	138698
653	20864	138653
654	20893	138600
655	20924	138561
656	20956	138532
657	20988	138499
658	21016	138439
659	21047	138402
660	21079	138369
661	21108	138323
662	21137	138271
663	21167	138226
664	21198	138187
665	21228	138145
666	21261	138119
667	21291	138073
668	21320	138027
669	21350	137982
670	21382	137951
671	21412	137905
672	21443	137866
673	21475	137838
674	21507	137804
675	21537	137761
676	21567	137720
677	21596	137671
678	21628	137636
679	21660	137609
680	21690	137566
681	21716	137495
682	21747	137459
683	21778	137421
684	21806	137365
685	21833	137303
686	21864	137263
687	21896	137237
688	21929	137208
689	21961	137178
690	21988	137117
691	22016	137064
692	22045	137010
693	22076	136977
694	22109	136948
695	22140	136915
696	22174	136897
697	22206	136863
698	22236	136824
699	22265	136772
700	22294	136724
701	22319	136651
702	22350	136611
