iter	Passed	Remaining
401	14471	165522
402	14506	165469
403	14537	165380
404	14575	165364
405	14606	165281
406	14637	165184
407	14676	165180
408	14713	165157
409	14749	165117
410	14789	165134
411	14823	165068
412	14859	165038
413	14896	165010
414	14923	164878
415	14951	164752
416	14980	164636
417	15014	164581
418	15048	164525
419	15086	164518
420	15122	164481
421	15156	164418
422	15189	164356
423	15219	164256
424	15248	164148
425	15283	164103
426	15314	164011
427	15343	163898
428	15377	163847
429	15410	163780
430	15436	163644
431	15462	163499
432	15489	163369
433	15519	163271
434	15552	163216
435	15584	163135
436	15614	163042
437	15645	162951
438	15678	162888
439	15736	163082
440	15776	163091
441	15808	163024
442	15840	162948
443	15871	162859
444	15905	162809
445	15933	162688
446	15959	162557
447	15985	162420
448	16012	162299
449	16046	162251
450	16081	162210
451	16116	162164
452	16149	162105
453	16183	162044
454	16218	162006
455	16254	161971
456	16290	161938
457	16323	161885
458	16358	161839
459	16395	161818
460	16432	161797
461	16461	161697
462	16488	161574
463	16511	161416
464	16544	161355
465	16577	161295
466	16606	161190
467	16638	161121
468	16668	161034
469	16702	160980
470	16735	160926
471	16767	160850
472	16802	160812
473	16834	160744
474	16867	160688
475	16903	160658
476	16938	160611
477	16971	160556
478	16999	160447
479	17027	160345
480	17053	160222
481	17091	160202
482	17125	160155
483	17158	160096
484	17197	160092
485	17233	160065
486	17270	160045
487	17309	160037
488	17345	160008
489	17385	160014
490	17421	159985
491	17456	159946
492	17493	159923
493	17527	159880
494	17558	159801
495	17586	159698
496	17614	159592
497	17638	159455
498	17671	159398
499	17704	159336
500	17735	159263
501	17770	159223
502	17802	159158
503	17840	159147
504	17877	159126
505	17915	159114
506	17953	159106
507	17991	159089
508	18023	159020
509	18058	158985
510	18088	158906
511	18116	158801
512	18142	158688
513	18172	158606
514	18202	158521
515	18239	158501
516	18279	158502
517	18316	158479
518	18353	158465
519	18391	158451
520	18426	158410
521	18463	158391
522	18500	158368
523	18536	158342
524	18572	158311
525	18604	158242
526	18639	158204
527	18674	158163
528	18703	158074
529	18732	157989
530	18760	157890
531	18807	157952
532	18843	157925
533	18880	157900
534	18916	157877
535	18953	157848
536	18993	157857
537	19025	157792
538	19061	157760
539	19097	157729
540	19131	157681
541	19168	157660
542	19200	157602
543	19232	157533
544	19261	157447
545	19293	157385
546	19322	157297
547	19361	157297
548	19398	157271
549	19429	157201
550	19466	157180
551	19499	157125
552	19533	157080
553	19566	157022
554	19598	156965
555	19632	156918
556	19664	156854
557	19697	156800
558	19732	156763
559	19762	156685
560	19794	156628
561	19824	156552
562	19857	156494
563	19886	156412
564	19912	156306
565	19939	156200
566	19972	156153
567	20003	156084
568	20037	156042
569	20066	155955
570	20099	155901
571	20128	155821
572	20163	155782
573	20194	155717
574	20228	155670
575	20260	155610
576	20288	155523
577	20319	155456
578	20358	155449
579	20393	155411
580	20427	155370
581	20457	155294
582	20487	155218
583	20516	155137
584	20552	155109
585	20591	155106
586	20627	155074
587	20659	155014
588	20686	154923
589	20719	154867
590	20753	154828
591	20780	154728
592	20808	154645
593	20844	154610
594	20879	154575
595	20913	154535
596	20949	154504
597	20981	154449
598	21006	154343
599	21031	154233
600	21057	154132
601	21084	154036
602	21120	154010
603	21151	153945
604	21184	153892
605	21217	153847
606	21250	153797
607	21286	153767
608	21323	153749
609	21360	153726
610	21392	153668
611	21425	153616
612	21460	153586
613	21495	153548
614	21533	153538
615	21568	153497
616	21596	153412
617	21621	153311
618	21648	153220
619	21680	153165
620	21717	153143
621	21751	153098
622	21783	153045
623	21818	153005
624	21851	152958
625	21885	152920
626	21918	152868
627	21949	152810
628	21982	152756
629	22014	152701
630	22043	152628
631	22072	152549
632	22103	152486
633	22132	152417
634	22163	152350
635	22190	152262
636	22217	152176
637	22253	152143
638	22285	152090
639	22337	152175
640	22374	152154
641	22403	152081
642	22429	151984
643	22458	151911
644	22483	151805
645	22513	151738
646	22539	151647
647	22572	151595
648	22601	151524
649	22633	151470
650	22663	151401
651	22692	151331
652	22719	151242
653	22743	151135
654	22768	151034
655	22797	150966
656	22832	150928
657	22865	150882
658	22895	150818
659	22926	150757
660	22959	150711
661	22986	150625
662	23017	150566
663	23046	150496
664	23077	150440
665	23108	150380
666	23136	150302
667	23169	150255
668	23202	150211
669	23233	150150
670	23258	150054
671	23285	149971
672	23318	149923
673	23352	149885
674	23382	149821
675	23413	149763
676	23444	149706
677	23473	149633
678	23505	149586
679	23537	149531
680	23568	149473
681	23599	149416
682	23631	149368
683	23661	149303
684	23691	149241
685	23723	149185
686	23747	149087
687	23775	149008
688	23800	148920
689	23828	148839
690	23860	148790
691	23885	148697
692	23911	148608
693	23947	148584
694	23980	148542
695	24010	148480
696	24042	148430
697	24072	148368
698	24102	148302
699	24130	148230
700	24162	148178
701	24191	148112
702	24221	148052
703	24250	147984
704	24277	147904
705	24304	147824
706	24330	147736
707	24359	147668
708	24392	147625
709	24431	147621
710	24466	147592
711	24500	147555
712	24535	147522
713	24575	147521
714	24612	147504
715	24650	147492
716	24689	147484
717	24720	147429
718	24749	147363
719	24780	147307
720	24830	147366
721	24865	147333
722	24902	147311
723	24936	147277
724	24965	147207
725	24997	147164
726	25029	147114
727	25058	147044
728	25085	146969
729	25115	146906
730	25141	146825
731	25170	146761
732	25201	146702
733	25224	146601
734	25250	146524
735	25277	146442
736	25305	146373
737	25340	146343
738	25366	146260
739	25398	146215
740	25435	146192
741	25465	146132
742	25495	146075
743	25522	146000
744	25552	145941
745	25581	145878
746	25613	145830
747	25645	145782
748	25674	145716
749	25700	145638
750	25732	145587
751	25758	145506
752	25784	145424
753	25810	145345
754	25844	145309
755	25874	145254
756	25902	145185
757	25937	145154
758	25968	145103
759	25998	145045
760	26032	145007
761	26062	144950
762	26092	144893
763	26124	144849
764	26154	144787
765	26186	144744
766	26220	144710
767	26249	144648
768	26277	144576
769	26304	144501
770	26332	144435
771	26361	144372
772	26393	144327
773	26425	144283
774	26457	144235
775	26486	144173
776	26517	144123
777	26547	144068
778	26582	144038
779	26610	143971
780	26641	143920
781	26673	143871
782	26704	143822
783	26734	143765
784	26764	143709
785	26791	143639
786	26818	143563
787	26846	143498
788	26879	143461
789	26911	143413
790	26944	143372
791	26974	143319
792	27005	143271
793	27032	143195
794	27062	143141
795	27089	143070
796	27119	143016
797	27144	142934
798	27172	142870
799	27202	142815
800	27232	142758
801	27261	142696
802	27286	142618
803	27312	142539
804	27338	142465
805	27371	142427
806	27404	142387
807	27431	142318
808	27466	142289
809	27501	142262
810	27535	142226
811	27565	142173
812	27596	142124
813	27629	142087
814	27658	142025
815	27686	141961
816	27717	141911
817	27745	141850
818	27774	141788
819	27802	141724
820	27834	141682
821	27863	141622
822	27894	141572
823	27925	141526
824	27955	141474
825	27983	141406
826	28013	141353
827	28042	141296
828	28074	141252
829	28105	141205
830	28135	141152
831	28166	141104
832	28198	141058
833	28227	141002
834	28256	140945
835	28284	140881
836	28318	140845
837	28348	140793
838	28380	140754
839	28410	140701
840	28440	140645
