iter	RMSE
0	3943.000006
1	3761.269348
2	3586.99327
3	3420.603223
4	3265.141315
5	3116.812129
6	2974.860978
7	2837.634888
8	2707.980911
9	2585.323114
10	2469.460994
11	2360.292632
12	2256.542094
13	2158.242571
14	2062.146233
15	1973.092181
16	1887.076069
17	1808.61113
18	1733.000619
19	1660.79318
20	1590.60846
21	1527.292384
22	1466.312362
23	1409.737556
24	1354.139093
25	1300.782241
26	1250.225502
27	1202.769928
28	1158.271771
29	1116.868377
30	1076.150998
31	1038.135269
32	1002.278341
33	969.1934982
34	937.296398
35	908.1058409
36	880.5710473
37	855.3202019
38	829.3408611
39	805.4685976
40	782.9457801
41	761.3792919
42	741.4747494
43	722.7258664
44	705.1103249
45	688.2016201
46	671.8671584
47	657.3912756
48	643.0054478
49	630.0254887
50	617.4237097
51	605.8718359
52	594.891314
53	584.6590758
54	574.9167518
55	565.9163077
56	557.5748182
57	549.9156442
58	542.2759113
59	534.4258685
60	527.5381793
61	521.0426052
62	515.0345121
63	508.9363586
64	503.2625525
65	498.2857937
66	493.2150104
67	488.2568418
68	483.7486916
69	479.4131169
70	475.5628673
71	471.4707319
72	468.1442528
73	464.6944267
74	461.3841389
75	458.6158101
76	455.2278442
77	452.3076684
78	449.4338464
79	446.7095101
80	443.9692297
81	441.4016253
82	438.5738221
83	436.317766
84	434.4209208
85	432.1420822
86	430.4137227
87	428.319976
88	426.8103204
89	424.876736
90	423.1785674
91	421.6893727
92	420.0257138
93	418.435555
94	416.6573352
95	415.5307025
96	414.0348401
97	412.7031184
98	411.3194412
99	410.108048
100	408.9808445
101	407.602208
102	406.5283754
103	405.3373642
104	404.4030608
105	403.0999949
106	402.2230643
107	401.4381432
108	400.5964362
109	399.7570976
110	398.7061236
111	397.769664
112	396.5953153
113	395.5974504
114	394.6171804
115	393.8895714
116	392.995996
117	391.8387218
118	391.202776
119	390.4651266
120	389.773227
121	388.9486984
122	388.0523397
123	387.1708162
124	386.4144948
125	385.9778564
126	385.2728582
127	384.6810004
128	384.0393019
129	383.5361552
130	382.9415718
131	382.3306069
132	381.9188825
133	381.4678433
134	380.9324174
135	380.520683
136	379.9987738
137	379.6221216
138	379.1779374
139	378.6869966
140	377.7915494
141	377.3507783
142	376.8337199
143	376.4485604
144	375.903732
145	375.3271979
146	374.8277563
147	374.3986889
148	374.1508686
149	373.902801
150	373.4490942
151	373.0372475
152	372.6663652
153	372.384168
154	371.8739585
155	371.3843655
156	371.0114821
157	370.6782739
158	370.2592292
159	369.8368169
160	369.2992991
161	369.0365319
162	368.2993124
163	367.9879126
164	367.6931132
165	367.3268428
166	367.0795444
167	366.8122457
168	366.5055995
169	366.2334578
170	366.0611046
171	365.7244735
172	365.4690008
173	365.1232075
174	364.8312796
175	364.6880501
176	364.4141111
177	364.0659579
178	363.789384
179	363.5884549
180	363.4231051
181	363.1440798
182	362.7450507
183	362.5751009
184	362.2125984
185	361.9133624
186	361.6927371
187	361.2968906
188	361.0884585
189	360.940399
190	360.7093892
191	360.234615
192	359.9275406
193	359.635375
194	359.3797462
195	358.9422137
196	358.3264799
197	358.1446123
198	357.9643239
199	357.7212281
200	357.537255
201	357.3508856
202	357.1607939
203	357.00574
204	356.8128734
205	356.5773171
206	356.4801549
207	356.3347866
208	356.0156602
209	355.7669281
210	355.5483567
211	355.3275471
212	355.1236834
213	354.9483761
214	354.7449937
215	354.5656444
216	354.3568731
217	354.1776028
218	354.0376636
219	353.8941225
220	353.7622325
221	353.6428303
222	353.434151
223	353.1917491
224	353.007837
225	352.8788337
226	352.655876
227	352.3493344
228	352.0590065
229	351.7952053
230	351.6090815
231	351.4899595
232	351.0207893
233	350.812903
234	350.5911342
235	350.3890305
236	350.2356631
237	350.0805262
238	349.9044203
239	349.7885843
240	349.5669795
241	349.4111353
242	349.0904041
243	348.9507678
244	348.6979106
245	348.5976566
246	348.4515094
247	348.3114806
248	348.0563852
249	347.9806129
250	347.8095674
251	347.6306687
252	347.5329368
253	347.3995475
254	347.2633582
255	346.8932967
256	346.6951218
257	346.5633642
258	346.4637512
259	346.3314772
260	346.225377
261	345.9268206
262	345.7863091
263	345.6602825
264	345.5464726
265	345.3917576
266	345.2437167
267	345.2028539
268	345.1088651
269	344.9740649
270	344.8413619
271	344.6935565
272	344.5826466
273	344.4682934
274	344.3293885
275	344.190683
276	344.0769915
277	344.0006397
278	343.8751277
279	343.766163
280	343.6277103
281	343.4687694
282	343.3983093
283	343.2628433
284	343.049937
